"","skill","count"
"1","Hadoop",0
"2","Python",8e-04
"3","SQL",0.0036
"4","NoSQL",0
"5","R",0.0012
"6","Spark",4e-04
"7","SAS",0.0012
"8","Excel",0.0108
"9","Java",0.0012
"10","Tableau",0.0024
"11","CSS",0
"12","Oracle",0
